code (Eng);subcode (Eng);code (fr);sous-code (fr);code #;subcode #;subsubcode #;short;court;ref#;jpg;video;date;comment;English;français;core;Toro Tegu (Toupere, JH);Ben Tey (Beni, JH);Bankan-Tey (Walo, JH);Nanga (Anda, JH);Donno So;Jamsay (alphabet);Jamsay (Douentza area, JH);Perge Tegu (Pergué, JH);Gourou (Kiri, JH);Jamsay (Mondoro, JH);Togo-Kan (Koporo-pen, JH with BT);Yorno So (Yendouma, JH);Tomo Kan (Segue);Tomo Kan (Diangassagou);Tommo-So (JH);Tommo-So (Tongo Tongo, LM);Dogul Dom (Kundialang, JH);Dogul Dom (Bendiely & Kundialang, BC);Tebul Ure (JH);Yanda Dom (Yanda, JH);Najamba (Kubewel-Adia, JH);Tiranige;Mombo (Songho, KP);Ampari (Nando, KP);Bunoge (Boudou);Penange (Pinia);@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;beautify;ornement;embellir;18;1;9;embellish, decorate;orner, embellir;01298;;;old;;put designs on surface of (calabash, wall);faire des dessins sur (calebasse, mur);2;;s??:r?u?;;sa??i?-y?i?;;;;;;;t?????;j??:r???-m??;;;;j??y? j?????;;;;;f??:r??;be?ra?-ndi?yo?;de?se?:?-ge? ma? ya?gya?mi?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;beautify;ornement;embellir;18;1;10;embellish, decorate;orner, embellir;01299;get;;old;;(calabash, wall) be decorated with designs;(calebasse, mur) ê. décoré avec des dessins;2;ta?:la?m, pa?ra?;sa?:?;;sa??a?;;sa?ar?a;sa??a?-r?a?;sa??i?-r?i?-y??;;;;;;;;j??i??-y??;;;;s???i?r?i?y???\\s???i?r?i?y?a?-li?;gu?la?n-go?\\gu?la?n;b??:ri? (Boui);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;fashion;ornement;mode;18;2;1;fashion;mode;01300;;;old;;fashionability, being fashionable;fait d'ê. à la mode;1;;;pa?ra?;sa??a?wi?l;sa??a?;sa?a;sa??a?;sa??i?-r?i?-y??;;;ja?w?u?r?u? ;??d??;;;;sa??a? b??l??;sa??a?;;;;sa??a?;b??ri? (Ningo);sa??a? wu?li??ge?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;fashion;ornement;mode;18;2;2;fashion;mode;01301;;;old;;be in fashion;ê. à la mode;1;sa??a? lu?;sa?:? so?;;sa??a? so?;sa??a? ra?: w??;sa?asa;sa??a? sa?;;;;ja?w?u?r?u? i?g-i?:;??d??=y?, ??d?? go?w-a?:y;;;;sa??a? le w??;sa??a? na?-?? nju?g??;;;;[sa??a? ma?] bo?;??:?go?;sa??a? wu?li?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;cosmetic;ornement;maquillage;18;3;1;henna;henné;01302;get;;old;;henna (dark women's cosmetic, for hands and feet);henné (maquillage noirâtre des femmes, pour les mains et les pieds);1;pu?ddi?;pu?du?;pu?ddi?;pu?ti?, pu?di?;pu?ddu?;puddu;pu?ddu?;pu?ddu?;;;pu?tu?ru? ;ja?bi?:;ja?bi?;xxx;;pu?du?\\pu?ddi?;ja?bi?:;;pu?du?;pu?du?;pu?ddi?;da??ga? (stative);pu?tu?;;pu?ddi?;pu?ddi?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;cosmetic;ornement;maquillage;18;3;2;kohl, antimony;khol, antimoine;01303;get;;old;;kohl (black, antimony-based compound for eye shadow);khol (maquillage noir à base d'antimoine pour noircir les yeux);1;pi?na?;pi?ne?;pi?ne?, pi?na?;ka?le?;ka?le?:;kale,pine;ka?le?:, pi?n??;ka?le?:;pi?ne?;;ka?le?;ka?le?:;k??ri?;xxx;xxx;ka?le?, gi?re? p??n??;ka?le?;;ka?le?:;gi?de?-ka?le?;pi?na?;da??gi?-yo?;ka?le?:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;scarification;ornement;scarification;18;4;1;scarification;scarification, balafre;01304;get;;old;;scarification (decorative facial scars, general word);balafre, scarification (cicatrices décoratives, mot général);1;;ka?ri?:;l??:?a?;ka?ri?;ka?ru?;karu;ka?ru?;ka?ru?;ka?ru?;;ka?ru?;ka?ru?;ko?ru?;xxx;;ka?ru?;su?mo?l;;ka?ru?;pa?ma?-ka?du?;ga?ja?\\ga?j??;tu?m??;ka?ddi?;;;se?m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;scarification;ornement;scarification;18;4;2;scarify;balafrer, scarifier;01305;get;;old;;scarify (sb), cut decorative scars on (sb);balafrer, scarifier (qn);1;;ka?ra?;l??:?a? ka??;ka?ra?;ka?ra?\\ka?r-i?;kara;ka?ra?;ka?ra?;;;ka?ra?;ka?ra?-\\ka?ru?;ko?ru? k??r??;xxx;;ka?ru? ka?ra?;su?mo?l ka?ne?;;ka?ra? (ka?ra?-ti?-);ka?du?;ga?ja?-m;ya??ga?y? gu?n(u?);ka?dyi?;;;s??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;scarification;ornement;scarification;18;4;3;scarification (type);scarification (sorte);01306;get;;old;;short scarifications from nose to cheekbone (Fulbe and Ongoiba style);courte scarifications du nez à la pommette (style peul et Ongoiba);TD;w??gu?;bu?su?ma?-ka?ri?:;;bu?su?ma?-ka?ri?;;busumokaru;bu?su?mo?-ka?ru?;bu?su?ma?-ka?ru?;;;ki?r?i?-ka?ru?;xxx;;;;;;;;;;g??l?? (Ningo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;scarification;ornement;scarification;18;4;4;scarification (type);scarification (sorte);01307;get;;old;;short scarification on temple beside eyes (e.g. Songhay style);courte scarification à la tempe à côté des yeux (style songhay etc.);TD;w??gu?;ji?re?-ka?ri?:;l??:?a?;gi?re? ka?ri?;;jirekaru;ji?re?-ka?ru?;gi?re?-ka?ru?;;;gi?re?-ka?ru?;;;;;;;;;;gi?ro?-ga?ja?;j??l?? (Boui);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;scarification;ornement;scarification;18;4;5;scarify;balafrer, scarifier;01308;;;old;;cut short scarifications on (sb);balafrer (qn) en courtes scarifications;TD;w??gu?\\w??g??;;;;;;;;;;;;;;;wa?nni?ya?a? pu?ru? pu?ru? ka?na?\\ka?ra?;;;;;;g??l?? (Ningo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;scarification;ornement;scarification;18;4;6;scarification (type);scarification (sorte);01309;get;;old;;scarifications from temple or from nose to cheek (on one or both sides of face);longue scarifications de la tempe aux joues (style tombo ou mossi);TD;;ke?le?:-ka?ri?:;;ke?:nde? ka?ri?;;legekaru;le?ge?-ka?ru?;bu?su?ma?-ka?ru?;;;mu??u?-ka?ru?;mu??u?-ka?ru?;;;;m????si? ka?ru?;;;;;;j??l?? (Boui);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;scarification;ornement;scarification;18;4;7;scarification (type);scarification (sorte);01310;get;;old;;northern Tommo scarification style from temple to cheek (two or three on each cheek);scarification style tommo du Nord (deux ou trois sur chaque joue, de la tempe jusqu'au menton);TD;;;;da?:ni? ka?ri?;;legekaru;le?ge?-ka?ru?;bu?su?ma?-ka?ru?;;;;ma?na?-ka?ru? ;;;;da?le? ka?ru?;;;;;;ta??gi?le?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;scarification;ornement;scarification;18;4;8;scarification (type);scarification (sorte);01311;get;;old;;Mossi-style scarifications (four on each cheek, from ears to chin);scarification style mossi (quatre sur chaque joue, de l'oreille jusqu'au menton);TD;ka?pa?ru?;;;mo?:si? ka?ri?;;legekaru;le?ge?-ka?ru?;;;;;mu??u?-ka?ru?;;;;m????si? ka?ru?;;;;;;tu?:? ?a?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;scarification;ornement;scarification;18;4;9;scarification (type);scarification (sorte);01312;get;;old;;single long scarification from cheekbone across cheek (Kurouminké style, Burkina Faso);une seule longue scarification de la pommette à travers la joue (style kourouminké, Burkina Faso);TD;po?ru?;;;;;;;bu?su?ma?-ka?ru?;;;;;;;;m????si? ka?ru?;;;;;;tu?:?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;scarification;ornement;scarification;18;4;10;scarify;balafrer, scarifier;01313;;;old;;cut a long scarification on (sb) from the cheekbone;balafrer (qn) avec une longue scarification à partir de la pommette;TD;po?ru?\\po?ro?;;;;;;;;;;;mu??u?-ka?ru? ka?ra?;;;;m????si? ka?ru? ka?ra?;;;;;;da?na? ?a?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;scarification;ornement;scarification;18;4;11;scarify;balafrer, scarifier;01314;;;old;;cut scarifications on (sb) down from the temple;balafrer (qn) en scarifications depuis la tempe en bas;TD;pa?ru?\\pa?ra?;;;;;;;;;;;;;;;ma?nna? ka?ru? ka?ra?;;;;;;ta?li?-yo?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;scarification;ornement;scarification;18;4;12;scarification (type);scarification (sorte);01315;get;;old;;Tommo scarification style around Indalou village (men and women), from beside eyes downward;scarification style tommo du village d'Indalou (hommes et femmes), du côté de l'œil en bas;TD;;;;;;;;;;;;;;;;;;;;sa?ma?-ka?du?;;si?gi?ya?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adornment;fringe;ornement;frange;18;5;1;tassel, fringe, pom-pom;gland, pompom, frange;01316;get;;old;;tassels, pom-poms (decorations on fringe of leather or textile);gland, pompom (frange décorative au bord d'un cuir ou d'un textile);1;du?so?;se?mde?;du?mbu?;se?mbe?re?, se?me?re?;;sije;si?je?;se?mde?;;;bu?y???;ju?m??-y?;;xxx;;ju?mb??-y?;xxx;;zu?mba?;se?mbe?re?;ye?mbe?le?-?go?\\ye?mbe?le?;ma?la?-sa?;tu?nju?ru?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;braid;tressage;tresse;19;1;1;braid;tresse;01317;;;old;;braids, hairstyle;tresses, coiffure de femme;1;ku?-??ru?;ku?:-mo?l-i?:;ku?:-??ri?:;ku?:-mu?ndo?;;ku?mun;ku?:?-mu?n;mu?lu?;ku?:?-mu?n;;ku??-mu?nu?;ku?:-??ru?;;;;ku?u? ??ru?;??ru?-g;;ku?-??ru?;ko?:-??du?;ki?:-e?ru?\\-e?ri?;ma?la?-m(u?);ko?: mu?ndu?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;braid;tressage;tresse;19;1;2;braid;tresser;01318;;;old;;(woman) get one's (hair) braided;(femme) se faire tresser (les cheveux);1;ku? ??ru?\\??ra?;ku?: mu?lo?;ku?: ??ri?;ku?: mu?ndo?;ku?: mu?nno?\\mu?nn-e?;ku?muno,muno;ku?:? mu?no?, mu?no?;ku?: mu?lo?;;;;[ku?: X] ??r??-m??;;xxx;xxx;ku?u? ??r??-m??;??r-m??;;??ri?-le? ya?y (ya?y-ya?-);ko?: ??d??-m??;ki?: e?ra?-m;ma?lo?;ko?: na? mu?nde?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;braid;tressage;tresse;19;1;3;braid;tresser;01319;;;old;;(woman) be braided;(femme) ê. tressé;3;ku? ??ru?\\??ra?;ku?: mu?lo?;ku?: ??ri?;ku?: mu?ndo?;;ku?muno,muno;ku?:? mu?no?, mu?no?;ku?: mu?lo?;;;sa?? ku?? mu?no?-m?;ku?: ??r??;;;;ku?u? ??r??-m??, ku?u? ??r??;;;;;;pu?l-yo?-;ko?: na? mu?ndye?:;;;mu?ndo?-mi?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;braid;tressage;tresse;19;1;4;hairdresser, braid;tresseuse;01320;;;old;;braiding lady, (female) hairdresser;tresseuse;1;ku?-??-nu?\\ku?-??ru?-m;ku?:-mu?lu?-m\\mu?lu?;ku?:-??ru?-m;ku?:-mu?ndi?, ya?: ku?: mu?ndo?-mi?;ku?:-mu?nnu?-n??;ku?munon;ku?:?-mu?no?-n;ku?:-[mu?lo?-n];;;ku??-mu?no?;ku?:-[??ru?-n??];go?ndo?-?ya?:ri??;xxx;xxx;ku?u? ??ri?-n??;ki?:g-??r;;ku?-??re?:\\ku?-??ru?-mbo?;ko?:-??du?\\-mu?;ki?:-e?re?\\-e?ru?-mbo?;pu?li?-yo?;y??: ko?: mu?ndu?;;ko?:-b??g??-bo?;mu?nda?:-mu?ndu?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;braid;tressage;tresse;19;1;5;braid;tresser;01321;;get;old;;(sb) braid the hair of, do the hair of (a woman);(qn) tresser les cheveux de, coiffer (une femme);1;??ru?\\??ra?;ku?: mu?lo?;??ri?;ku?: mu?ndo?;[ku? X-m??]: mu?nno?\\mu?nn-e?;ku?muno;ku?:? mu?no?;ku?: mu?lo?;ku?:? mu?no?;ku?:? mu?no?, ku?:? ti?:?;[X ku??] mu?no?;[ku?: X] ??r??;[X go?ndo?] ?ya?:ri?;xxx;;ku?u? ??r??;??r??;;ku?-g?? ??r?? (??r??-ti?-);ko?: ??d??;ki?: ??r??;pu?l-yo?-;ko?: mu?nde?;;b??g??;mu?nde?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;braid;tressage;tresse;19;1;6;braid;tresser;01322;;;old;;braid (hair);tresser (cheveux);3;??ru?\\??ra?;mu?lo?;??ri?;mu?ndo?;;muno,t??,ti?;mu?no?, t??:?, ti?:?;mu?lo?;t??:?, ;;mu?no?;??r??-\\??r??;?ya?:ri?;;;??r??;??r??;;;??d??\\??da?-li?;??r??;pu?li?-yo?;ko?: mu?nde?;;b??g??;mu?nde?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;braid;tressage;tresse;19;1;7;projection;projection;01323;get;;old;;antenna-like projections in woman's hairdo;projections en forme d'antenne dans une coiffure de femme;3;;;di?ggi?l;;;;ku?:?-[pa?g-u?];;;;;;;;;j??mb??;;;;ko?:-du?l??;j??mb??:\\j??mb??:;ba?y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;undo braids;tressage;défaire tresses;19;2;1;undo;défaire;01324;;get;old;;undo (braids);défaire (tresses);1;la?lu?\\la?la?;sa?ni?;sa?r?i?;sa?ra?;s??:l??\\s??:l-i?;sana;sa?na?;sa?na?;;;s??ni?-r?i?;s??n??-\\s??n??;s??li?;xxx;;i?si?-le?, pu?lo?;i?su?le?;;s???gu?-lu? (s???gu?-l-ti?-);s??nzu?l??;pu?l\\pu?le?;ba?:-ndo? (Boui);ko?:-na? mu?ndu?le? // ko?:-na? yu?gu?je?, ko?:-na? sa?ye?le?;;pu?le?;sa?y-le?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;comb;tressage;peigner;19;3;1;comb;peigner;01325;;;old;;comb (verb);peigner;1;ku? pa?:sa? ka?r?u?\\ka?r?a?, ku? k??su?\\k??s??;ku?: sa?ni?;p??:?a? ka??, sa?r?i?;sa?ra?;s??:l??\\s??:l-i?;ku?pas?,pas?;ku?:? pa?:s??, pa?:s??;sa?na?;;;s??nu?;s??n??-\\s??n??;ha?:ji?;xxx;;i?si?-le?;p??????;;s???gu?-lu? (s???gu?-l-ti?-);ko?: s??nzu?l??;ha?:s??;ba?y-ndo? (Boui);ko?:-na? sa?ye?le?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;delouse;tressage;épouiller;19;4;1;delouse;épouiller;01326;;get;old;;delouse, remove lice from (head or clothing);épouiller, enlever les poux de (tête, vêtement, etc.);1;to?r?u? j??su?\\j??sa?;y??mbu?;y??mbi?, to?:r?u?m j??;j??:;y??mb??\\y??mb-??;c?;c??:;k??:;;;ka?r?u?ka?: k??:;s??w??? y??m??;???mb??;xxx;;s??m?? y??mb??;s??ma?: y??mb??;;y??mbi? (y??mbi?-ti?-);c??:\\c??ya?-li?;k??m??;ga?ya?-ndo? (Ningo);ko?: na? se?me? go?:mi? // ?e?mbe?;;;ki?y??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;pick teeth;tressage;curer dents;19;5;1;chewstick, toothpick;cure-dents;01327;get;;old;;chewstick, toothpick;cure-dents;1;s??kki?ri?ka?l, s??kki?ka?r;i?r?i? bu?wi?:;?i?r???-ko?:si?;wu?ro?, a?si?ma?-be?re?;i?nu?-bu?bu?;ir?ebu,hurow;i?r?e?-bu?:, hu?ro?w;i?r?e?-l??gu?su?;i?r?e?-bu?:;be?re?-i?:?;;??n-[bu?b-u?];;xxx;xxx;i?nu? bu?bu?;i?no?:-s???lu?-??;i?nu? bu?bu??;i?n-[bu?bu?-?go?], g??s??;i?n-bu?:bu?;i?n??:-[gi?j-i?-?go?]\\i?n??:-[gi?j-i?:];ba?y-nda?-m(u?);i?nni? bu?bi?;;k??ji?-be? (pl -be?:-ge?);k??ji?-ye?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;pick teeth;tressage;curer dents;19;5;2;pick teeth;curer dents;01328;;get;old;;pick one's teeth (with chewstick or twig);se curer les dents (avec un cure-dents en bois ou avec une tige);1;w??gu?ru?\\w??gu?r??;i?r?i? l??gu?si?;l??ki?ti?, ?i?r??? l??ki?ta? ka??;l??gu?si?;bu?bo?\\bu?b-e?;s?w?;s??w??;l??gu?s??;i?r?e? bu?w??;s??w??;i?r?i? s???u?r?u?;bu?b??-\\bu?bu?;i?ni? w?????li?;xxx;xxx;i?nu? bu?b??;s???l??;;i?n l??g??di? (l??g??di?-d??-);i?n l??gu?z??;i?n??: no?gi?ji?;"we?ni?-we? (""small"")";;;?a??ga?je?;no?go?je?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;pick teeth;tressage;curer dents;19;5;3;pick teeth;curer dents;01329;;get;old;;brush one's teeth (with chewstick or toothbrush);brosser les dents (avec cure-dents en bois ou avec la brosse à dents);1;s??cca? ka?r?u?\\k?r?a?;bu?w??;bu?wa?, du?sa?;bu?w??;bu?bo?\\bu?b-e?;buw?;bu?w??;bu?w??;;;i?r?i? bu?w??;bu?b??-\\bu?bu?;su?mb?? ('wash');xxx;;i?nu? bu?b??;i?no?: bu?b??;;i?n bu?b?? (bu?b??-ti?-);bu?:b??\\bu?:ba?-li?;i?n??: gi?j??;wen-do?;i?nni? na? bu?be?;;gi?g??;bu?mb??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;coin (ornament);tressage;monnaie (ornement);19;6;1;coin;monnaie;01330;yes;;old;;silver coins (as ornaments for hairstyles);pièces de monnaies en argent (pour orner les coiffures);1;t???c??, ta?mma?:ge?;bu?:du?-i?:r???m;m?bu?:du?-?i?r?e?y?;bu?:di?-i?:nda?;ta?mma?;t??k?;t???k??;;;;i?w?i?r?i?-bu?:du?;??r??? bu?:du?;;xxx;;wa?re?-y?, ta?mma?a?;ta?mma?:;;ta??ka?;ta??ga?;ta?mma?:\\ta?mm??:;i?mbi?-l?? (Boui);ta?mma? // ta??ga?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;coin (ornament);tressage;monnaie (ornement);19;6;2;pin on, coin;attacher, monnaie;01331;;get;old;;pin on, attach (silver coins, to hairstyle) (verb only);attacher (des pièces de monnaie en argent, à une coiffure) (verbe seulement);1;;;;;ta?mma? ta?ri?;t??k?w?;t???k??-w??;;;;[i?w?i?r?i? bu?:du?] je?re?;ta?ra?;;xxx;;ta?ra?;ta?mma?: ja?me?;;k??mbu? (k??mbu?-ti?-);;da??gi?;ja?ylo? (Ningo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;coin (ornament);tressage;monnaie (ornement);19;6;3;pin on, coin;attacher, monnaie;01332;;;old;;pin on, attach silver coins (to hairstyle) (verb plus noun);attacher des pièces de monnaie en argent (à une coiffure) (verbe plus substantif);1;t???c?? ku?lu?\\ku?lo?;;t???ka? ka??;;ta?ri?;t??k?t??k?;t???k?? t???k??-w??;;;;je?re?;[??r??? bu?:du?] ta?ra?;;xxx;;ta?mma?a? ta?ra?;ja?me?;;ta??ka? k??mbu? (k??mbu?-ti?-);;ta?mma?: da??gi?;ku?mu?-lo?;ta?mma? da??ge?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;coin (ornament);tressage;monnaie (ornement);19;6;4;coin;monnaie;01333;;;old;;adorn (hairstyle, with coins);orner (coiffure, avec des pièces de monnaie);3;;;;;;t??k?;t???k??;;;;;;;;;ta?ra?, ku?u? ??ru? s??i?-r??;;;;;;g??mb?? (open wide);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;coin (ornament);tressage;monnaie (ornement);19;6;5;attach, row;attacher, rangée;01334;;;old;;attach in a row (coins in hairstyle);attacher en rangée (des monnaies, dans une coiffure);2;;b??lu?;;;;b?n?;b??n??;;;;p??r??l??l?? je?re?;p??r??d??d?? ta?ra?;;;;ta?ra?, da??a?;;;;;da??gi? g?????;ja?ylo?;b??ndi?r??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;ornament;tressage;ornement;19;7;1;ornament;ornement;01335;get;;old;;metal ornament attached with a clasp to the hair (part of a woman's hairstyle);ornement en métal attaché au cheveux (partie d'une coiffure féminine);3;;;;;;ara;a?ra?;;;;;;;;;;;;;ko?:-la?li?ya?;;ti?mbi?-l??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;ornament;tressage;ornement;19;7;2;ornament;ornement;01336;get;;old;;red yarn ornament worn by women on ears;ornement en laine rouge porté par les femmes à l'oreille;3;;;;;;sungidi;su?n-gi?di?;;;;;l??l?? ba?n;;;;a?lle? ba?nu?;;;;;;i?mb?? (Boui);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;tuft;tressage;touffe;19;8;1;tuft;touffe;01337;get;;old;;tuft (ball of hair, in certain women's hairstyles);touffe (de cheveux, dans certaines coiffures de femme);1;pa?gu?-m??tu?;ku?:-du?r??;zu?:ki?ya?;j??mb??, ku?:-j??mb??;j??mb??;;ku?:?-b??n??;ku?:-j??mb??;;;;j??mb??;go?ro?bo?ju?;xxx;;j??mb??;j??mb??;;ku?-du?la? (in back), ku?-mu?ndu? (on top);ko?:-du?l??;;ja?yo? (Ningo);j??mb??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;tuft;tressage;touffe;19;8;2;tuft;touffe;01338;get;;old;;tuft (ball of hair) on the side of the head;touffe de cheveux au flanc de la tête;3;;;;;;;;;;;;ku?:-[j??m?-y??];;;;j??mb??;;;;;ba?k??l??:\\ba?k??l??:;i?mbi?-y??-w?? (Boui), ja?y-ye?-w?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;tuft;tressage;touffe;19;8;3;tuft;touffe;01339;get;;old;;pony tail (ball of hair on back of head);touffe de cheveux derrière la tête;3;;;;;;;;;;;;ku?:-[j??m?-y??];;;;j??mb??;;;;;d??r??-mu?ndu?;i?mbi?-y??-w?? (Boui), ja?y-ye?-w?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grooming;tuft;tressage;touffe;19;8;4;attach;attacher;01340;;;old;;attach (silver coins) to a tuft of hair on the side of the head;attacher (monnaies en argent) à une touffe de cheveux au flanc de la tête;3;;;;;;;;;;;;;;;;;;;;;da??gi? si?mbi?-r??;i?mbi?-y??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jewelry;bracelet;bijoux;bracelet;20;1;1;bracelet;bracelet;01341;yes;;old;;bracelet;bracelet;1;l?? te?:?su?, te?:?su?;na?: m??:ni?:;na?:-?i?r?e?y;sa?rti?, sa?rdi?, na?:-sa?rti?;m??nnu?;m?n,numok?r?m?n;m??n, nu?mo?-k??r??-m??n;nu?w?o?-sa?ddu?;m??n;;nu?m??-m??n;n??y?-[m??ni-y??];sa?nja?;xxx;; nu?m?? wa?re?-y, nu?m?? k??k??l?? wa?re?-y, s??nj??;me?nnu?-?? (pl me?nnu? ya?:);m??nnu?;m??nd-i?y??;nu?ma?-m??nu?;nu?ma?-[sa?ga?-?go?]\\-sa?g??;ku?mi?-yo?;n??: pa?ru? du?be?;;xxx;n??:-t??n??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jewelry;bracelet;bijoux;bracelet;20;1;2;bracelet;bracelet;01342;;;old;;bracelet (small);bracelet (petit);3;;;;;;m?ni?;m??n-i?:?;;;;nu?m??-sa?sa?ga?;;;;;s??nj??;;;;;;ti?yo?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jewelry;bracelet type;bijoux;sorte de bracelet;20;2;1;bracelet;bracelet;01343;;;old;;stone bracelet;bracelet de pierre;TD;;na?:-ku?r?u?;;xxx;;;;;;;;;;;;ma?ga? t??mb??;;;;;;ti?y-lo?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jewelry;bracelet type;bijoux;sorte de bracelet;20;2;2;elbow-ring;annean de coude;01344;yes;;old;;heavy metal bracelet or elbow-ring;bracelet ou anneau de coude lourd en métal;TD;;na?:-so?mbo?ru?;;so?mbo?ri?;;;;nu?w?o?-sa?ddu?;;;m??n ba??;;;;;nu?m?? me?nnu?, me?nnu? ba?nu?;;;;so?mbu?ru?;ma?ga?-t??mb??:\\-t??mb??:;bo?w? p??w??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jewelry;bracelet type;bijoux;sorte de bracelet;20;2;3;bracelet, wristband;bracelet, bandeau de poignet;01345;yes;;old;;flat steel wristband;bandeau de poignet plat en acier;TD;ko?:?su?;na?:-ko?:si?:;na?:-ko??gi?:;ko?bo?-ko?bo?;;;;;;;;k???go?l;;;;s??nj??;;;;nu?ma?-ko??o?l;;p??w??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jewelry;bracelet type;bijoux;sorte de bracelet;20;2;4;bracelet;bracelet;01346;yes;;old;;bracelet (simple, metal);bracelet (simple, en métal);TD;;;;m??:ndi?, na?: m??:ndi?;;;;nu?w?o?-i?:n??m;;;;;;;;s??nj??;;;;so?mbu?ru?;;bo?w? p??w??;n??:pa?ru? du?be?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jewelry;bracelet type;bijoux;sorte de bracelet;20;2;5;bracelet;bracelet;01347;yes;;old;;metal bracelet with longitudinal right-angled ridge;bracelet en métal à arête longitudinale en angle droit;TD;t?????-t???e?, t?????-t?????;;;xxx;;;;nu?w?o?-sa?ddu?;;;;;;;;;;;;;;p??w??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jewelry;bracelet type;bijoux;sorte de bracelet;20;2;6;bracelet, wristband;bracelet, bandeau de poignet;01348;yes;;old;;rounded brass bracelet (cross-section half-circle);bracelet arrondi en laiton;TD;di?gi?b??;;;;;;;;;;;;;;;s??nj??;;;;;;go?go?ro?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
